"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"3 weeks ago","India - Tamil language. If possible really difficult to ready tamil version.","102","@subramaniasharma3617","false","false","false","false","","false",""
"2 weeks ago","India - Hindi language preferably","14","@HeyMr.OO7","true","false","false","false","","false",""
"2 weeks ago","tamil 🔥","16","@OnlyJavascript","true","false","false","false","","false",""
"12 days ago","Tamil","5","@Sriraman-gn2mp","true","false","false","false","","false",""
"11 days ago","South Indians don't know Hindi ​ @HeyMr.OO7 ","0","@SandalwoodYashBoss","true","false","false","false","","false",""
"11 days ago","Yes we need in tamil","5","@NGOFFICAL9","true","false","false","false","","false",""
"9 days ago","Your can watch video in english as south indian state peoples are very good in english 😊","7","@SandeepPrajapati-cg8vx","true","false","false","false","","false",""
"7 days ago","Tamil","3","@YusoufFirstYear","true","false","false","false","","false",""
"6 days ago","Learn hindi","1","@Gaurav76831","true","false","false","false","","false",""
"6 days ago (edited)"," @Gaurav76831  Why Hindi? programing languages are in English for understanding Tamil is enough! Don't impose Hindi! If possible to get a job in Bangalore, Hyderabad or Chennai or Coimbatore learn South Indian languages or we will impose it on you!","0","@computeristdotexe","true","false","false","false","","false",""
"6 days ago","No​ @Gaurav76831 ","0","@DailyyQuotes666","true","false","false","false","","false",""
"6 days ago","​ @HeyMr.OO7 Hindi is not worthy language. Always legendary and oldest original prime language தமிழ் . So we expect tamil version only 😐. Hindi worst ever seen. Boycott vadakkans.   Note: I'm not against to North Indians. I hate specifically who's trying to spread hindi and says that Hindi is national language. I remaind you there is no national language for India.","0","@techielovekid6121","true","false","false","false","","false",""
"6 days ago","​ @SandeepPrajapati-cg8vx yeah probably","0","@techielovekid6121","true","false","false","false","","false",""
"6 days ago","​ @Gaurav76831 😂 kadharals. Boycott hindi","0","@techielovekid6121","true","false","false","false","","false",""
"2 days ago","tamil","0","@elroysamu","true","false","false","false","","false",""
"1 day ago","😂😂","0","@akaskr0208","true","false","false","false","","false",""
"1 day ago","Tamil","0","@-ISDF--PAJAY","true","false","false","false","","false",""
"18 hours ago","Tamil","0","@arjunans5173","true","false","false","false","","false",""
"12 hours ago","​ @NGOFFICAL9  yeah! We need tamil version","0","@mosesmoses955","true","false","false","false","","false",""
"12 hours ago"," @mosesmoses955  already tamil audio is available","1","@NGOFFICAL9","true","false","false","false","","false",""
"3 weeks ago","In urdu, People in Pakistan really need you.","70","@JinXTama","false","false","false","false","","false",""
"3 weeks ago","just learn English no point entering tech industry without knowing English","26","@bullettime2808","true","false","false","false","","false",""
"3 weeks ago (edited)","​It's not even about learning and practicing English but also about comfort and concepts clearing​ @bullettime2808 ","0","@mayankgangrade1107","true","false","false","false","","false",""
"3 weeks ago","Urdu? Wtf is that? 😂 That's just Arabified and Farsified Hindi.","25","@BelligerentChad","true","false","false","false","","false",""
"3 weeks ago","Come down  Finally it's language  ​ @BelligerentChad ","0","@Ahlan-mx3hz","true","false","false","false","","false",""
"3 weeks ago","NO NEED , HINDI IS UNDERSTANDABLE FOR US","12","@adivishku","true","false","false","false","","false",""
"3 weeks ago","​ @adivishku  terrorists are not allowed . Stop cross border terrorism.","1","@radhescript","true","false","false","false","","false",""
"3 weeks ago","You can't even afford wheat flour... in your country... Nobody cares about Pakistan anyways 😒😒","0","@Rylieonmoon","true","false","false","false","","false",""
"3 weeks ago (edited)","Lolz u should try english or hindi. Its easy. Like -   const pakArmy = ""useless"" 😂😂 and yeah its a const 😈","6","@shubhamagarwal16","true","false","false","false","","false",""
"3 weeks ago (edited)"," @JinXTama  Terrorists are not allowed in tech industry. First stop cross border terrorism industry.","1","@radhescript","true","false","false","false","","false",""
"3 weeks ago","Yes","0","@awaistech629","true","false","false","false","","false",""
"3 weeks ago"," @shubhamagarwal16   const also pakArmy = ""Terrorist'sArmy""","0","@radhescript","true","false","false","false","","false",""
"3 weeks ago","Most people in pakistan can understand hindi","7","@mayanksolanki3483","true","false","false","false","","false",""
"3 weeks ago"," @mayanksolanki3483  All people can understand Hindi. Hindi and Urdu are same but some words make confused.","2","@awaistech629","true","false","false","false","","false",""
"3 weeks ago","Hindi is like raw material, urdu is finished product. Choice is yours .😂","2","@informationgiant7697","true","false","false","false","","false",""
"2 weeks ago","Lol! You can not learn in urdu. At least hindi and urdu are same approach 80 percent.","2","@Anuj_pal_1","true","false","false","false","","false",""
"2 weeks ago"," @Anuj_pal_1  I agree with you, bro. But not 80 percent. It's 95 percent.","2","@awaistech629","true","false","false","false","","false",""
"2 weeks ago","​ @shubhamagarwal16  i also hate our army but tea was fantastic 😅😅","2","@Smithandlabuchane","true","false","false","false","","false",""
"2 weeks ago","Does Islam allow science & tech? 😮😮","1","@bmyadav4633","true","false","false","false","","false",""
"2 weeks ago"," @bmyadav4633  Of course, as your religion allows drinking cow urine.","1","@awaistech629","true","false","false","false","","false",""
"2 weeks ago","Yeah","1","@MuhammadAbbas-q5c","true","false","false","false","","false",""
"2 weeks ago"," @bmyadav4633 yeah off course when you read the history you will found many Muslim scientists and mathematicians like Alberuni, Jabir bin hayyan, Alkhwarzmi, Aljabir, Dr Abdul Qadir khan and so on","0","@MuhammadAbbas-q5c","true","false","false","false","","false",""
"13 days ago","​ @shubhamagarwal16  but tea ☕ was fantastic🤘😝🤘😂😂","0","@Theinfoworld_2024","true","false","false","false","","false",""
"11 days ago","True","0","@muhammadhamzaqureshi","true","false","false","false","","false",""
"10 days ago","​ @informationgiant7697   that's a stupid analogy","0","@heyythere","true","false","false","false","","false",""
"3 weeks ago","Persian probably !!!","58","@NikAfz","false","false","false","false","","false",""
"3 weeks ago","فارسی که اصل کاریه","5","@johnnythesilverhand","true","false","false","false","","false",""
"3 weeks ago"," @johnnythesilverhand  صد در صد","3","@nikanaraghi1623","true","false","false","false","","false",""
"2 weeks ago","Tamil needed","17","@Ahamedbilalayehsa","false","false","false","false","","false",""
"1 day ago","😂😂","0","@akaskr0208","true","false","false","false","","false",""
"22 hours ago"," @akaskr0208  why r u laughing","0","@Ahamedbilalayehsa","true","false","false","false","","false",""
"22 hours ago"," @akaskr0208  TAMIL,தமிழ் NEEDED","0","@Ahamedbilalayehsa","true","false","false","false","","false",""
"2 weeks ago","Tamil - india","16","@buvan6050","false","false","false","false","","false",""
"10 days ago","Yes Tamil please","1","@Glennmc02","true","false","false","false","","false",""
"2 weeks ago","India - malayalam","15","@alambis","false","false","false","false","","false",""
"3 weeks ago","Can you please add TAMIL language?","13","@7precioussmile920","false","false","false","false","","false",""
"2 weeks ago","Tamil","13","@gunalan3800","false","false","false","false","","false",""
"3 weeks ago","Tamil 🧭","12","@senduranravikumar3554","false","false","false","false","","false",""
"2 weeks ago","Need tamil","12","@Ahamedbilalayehsa","false","false","false","false","","false",""
"3 weeks ago","Tamil","9","@rjagan2008","false","false","false","false","","false",""
"2 weeks ago","Form fill pannuga bro if numbers are high he will do that.","0","@computeristdotexe","true","false","false","false","","false",""
"2 weeks ago","This is great Mosh ❤ from 🇮🇳 INDIA","9","@raghavenderkuppireddy7158","false","false","false","false","","false",""
"3 weeks ago","Hebrew - we have a leading community and industry in programing","8","@יוסףחייםמלמוד","false","false","false","false","","false",""
"3 weeks ago","🇵🇸🇵🇸🇵🇸","1","@wakeupsaudiiii","true","false","false","false","","false",""
"3 weeks ago","Yes, yes, you will not take your industry afterlife","1","@TMukhammadyusuf","true","false","false","false","","false",""
"3 weeks ago"," @wakeupsaudiiii absoulutely agree with you brother","1","@TMukhammadyusuf","true","false","false","false","","false",""
"7 hours ago","If you love that country so much go and save??​ @wakeupsaudiiii ","0","@MamtaSingh-wp7kx","true","false","false","false","","false",""
"3 weeks ago","And I am From Pakistan This Language is Urdu.","8","@Mohsin-q8t","false","false","false","false","","false",""
"2 weeks ago","Hindi could work for you as well","0","@shoaibakhtar4389","true","false","false","false","","false",""
"2 weeks ago"," @shoaibakhtar4389  Ok","0","@Mohsin-q8t","true","false","false","false","","false",""
"3 weeks ago (edited)","Opa, bom demais! Brazil! 🎉 God bless you!","8","@viniciusm.m.7822","false","false","false","false","","false",""
"3 weeks ago","Persian 🇮🇷","7","@019KADESH","false","false","false","false","","false",""
"8 hours ago","He is Persian? 😮","0","@MamtaSingh-wp7kx","true","false","false","false","","false",""
"6 hours ago (edited)"," @MamtaSingh-wp7kx  his name is Moshfegh Hammedani","0","@019KADESH","true","false","false","false","","false",""
"5 hours ago"," @019KADESH  I thought he is jewish .his name sounds jewish lol 😂","0","@MamtaSingh-wp7kx","true","false","false","false","","false",""
"3 weeks ago","Please do videos on tamil 🙏","6","@YJ-ic1zp","false","false","false","false","","false",""
"3 weeks ago","LMAO","2","@rohitdalvi9361","true","false","false","false","","false",""
"3 weeks ago","Ukrainian!!","6","@nadiarom556","false","false","false","false","","false",""
"3 weeks ago","There is no need to support pig's language 😂😂😂😂😂","0","@name2144","true","false","false","false","","false",""
"3 weeks ago","I was looking for this comment! Definitely Ukrainian 💙💛","3","@Nezalezhnyi","true","false","false","false","","false",""
"3 weeks ago","Pigdogs language?😂😂😂😂😂","0","@name2144","true","false","false","false","","false",""
"3 weeks ago","Asking him to add firebullets?😂","3","@informationgiant7697","true","false","false","false","","false",""
"3 weeks ago"," @informationgiant7697  if you had a war in your country, you wouldn't joke like that","0","@nadiarom556","true","false","false","false","","false",""
"3 weeks ago (edited)"," @nadiarom556   I'd have started war instead. 😉","0","@informationgiant7697","true","false","false","false","","false",""
"3 weeks ago (edited)","We need Kannada Mosh as more than 7 crore people are there  to watch , as being from your student it's my humble request  Mosh. Could you  consider this .","6","@SRI_Ram_Shiva","false","false","false","false","","false",""
"3 weeks ago","Jalebi ban jygi","3","@sanketsingh5555","true","false","false","false","","false",""
"3 weeks ago","Bro you are from","0","@mani-w3c","true","false","false","false","","false",""
"3 weeks ago","how old are you?","1","@a_maxed_out_handle_of_30_chars","true","false","false","false","","false",""
"2 weeks ago","Bro I think your English skill is good enough to understand his lecture","0","@vikaskasaudhan900","true","false","false","false","","false",""
"3 weeks ago","We need french, there are almost no french programming oriented yt channels.","6","@G3oder-","false","false","false","false","","false",""
"3 weeks ago","We need Tamil","5","@SIVASANKAR-nz8tx","false","false","false","false","","false",""
"3 weeks ago","😂","1","@krunalchauhan5780","true","false","false","false","","false",""
"3 weeks ago","😂😂😂😂","1","@allgoodthings6579","true","false","false","false","","false",""
"3 weeks ago","Jaada nahi ho gaya yah","2","@killerthought418","true","false","false","false","","false",""
"3 weeks ago","Chal be","2","@ronakwadhwa2002","true","false","false","false","","false",""
"3 weeks ago","Lol","1","@usmanarif8863","true","false","false","false","","false",""
"3 weeks ago (edited)"," @killerthought418  Since they don't know Tamil, it's very difficult to learn,only a genius can manage it..","0","@SIVASANKAR-nz8tx","true","false","false","false","","false",""
